#,Event Id,Event Name,Event Type,Player Id,Attending What,Age,Gender,Nationality,Disability,Event Date,Event Name,Zone
1,507,Hørgården - Street football,Street Football,2306120070,"Yes, Sport",13,Male,,No,1/1/2023,Hørgården - Street football,Hørgården - København
2,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,3/28/2023,Hørgården - Street football,Hørgården - København
3,507,Hørgården - Street football,Street Football,2106120030,No,12,Male,,No,3/28/2023,Hørgården - Street football,Hørgården - København
4,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,3/28/2023,Hørgården - Street football,Hørgården - København
5,507,Hørgården - Street football,Street Football,2306120071,No,8,Male,,No,3/28/2023,Hørgården - Street football,Hørgården - København
6,507,Hørgården - Street football,Street Football,2306120072,No,8,Male,,No,3/28/2023,Hørgården - Street football,Hørgården - København
7,507,Hørgården - Street football,Street Football,2306120073,No,9,Female,,No,3/28/2023,Hørgården - Street football,Hørgården - København
8,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,4/4/2023,Hørgården - Street football,Hørgården - København
9,507,Hørgården - Street football,Street Football,2106120008,No,12,Male,,No,4/4/2023,Hørgården - Street football,Hørgården - København
10,507,Hørgården - Street football,Street Football,2106120007,"Yes, Something else than sport",10,Male,,No,4/4/2023,Hørgården - Street football,Hørgården - København
11,507,Hørgården - Street football,Street Football,2106120009,"Yes, Something else than sport",8,Male,,No,4/4/2023,Hørgården - Street football,Hørgården - København
12,507,Hørgården - Street football,Street Football,2106120021,No,12,Male,,No,4/4/2023,Hørgården - Street football,Hørgården - København
13,507,Hørgården - Street football,Street Football,2106120029,No,13,Male,,No,4/4/2023,Hørgården - Street football,Hørgården - København
14,507,Hørgården - Street football,Street Football,2106120026,"Yes, Something else than sport",4,Female,,No,4/4/2023,Hørgården - Street football,Hørgården - København
15,507,Hørgården - Street football,Street Football,2106120030,No,12,Male,,No,4/4/2023,Hørgården - Street football,Hørgården - København
16,507,Hørgården - Street football,Street Football,2106120024,No,12,Male,,No,4/4/2023,Hørgården - Street football,Hørgården - København
17,507,Hørgården - Street football,Street Football,2106120006,"Yes, Something else than sport",12,Male,,No,4/18/2023,Hørgården - Street football,Hørgården - København
18,507,Hørgården - Street football,Street Football,2106120031,No,12,Male,,No,4/18/2023,Hørgården - Street football,Hørgården - København
19,507,Hørgården - Street football,Street Football,2206120068,No,7,Male,,No,4/18/2023,Hørgården - Street football,Hørgården - København
20,507,Hørgården - Street football,Street Football,2106120007,"Yes, Something else than sport",10,Male,,No,4/18/2023,Hørgården - Street football,Hørgården - København
