Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,Nytårsdag,New Year's Day,DK,False,True,,Public,
2021-04-01,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2021-04-02,Langfredag,Good Friday,DK,False,True,,Public,
2021-04-04,Påskedag,Easter Sunday,DK,False,True,,Public,
2021-04-05,2. Påskedag,Easter Monday,DK,False,True,,Public,
2021-04-30,Store bededag,General Prayer Day,DK,False,True,,Public,
2021-05-13,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2021-05-14,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2021-05-23,Pinsedag,Pentecost,DK,False,True,,Public,
2021-05-24,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2021-06-05,Grundlovsdag,Constitution Day,DK,False,True,,"Bank, School, Optional",
2021-12-24,Juleaftensdag,Christmas Eve,DK,False,True,,"Bank, School, Optional",
2021-12-25,Juledag / 1. juledag,Christmas Day,DK,False,True,,Public,
2021-12-26,2. juledag,St. Stephen's Day,DK,False,True,,Public,
2021-12-31,Nytårsaftensdag,New Year's Eve,DK,False,True,,"Bank, School, Optional",
2021-02-13,Vinterferie,Winter Holiday,DK,False,False,,School,
2021-02-14,Vinterferie,Winter Holiday,DK,False,False,,School,
2021-02-15,Vinterferie,Winter Holiday,DK,False,False,,School,
2021-02-16,Vinterferie,Winter Holiday,DK,False,False,,School,
2021-02-17,Vinterferie,Winter Holiday,DK,False,False,,School,
2021-02-18,Vinterferie,Winter Holiday,DK,False,False,,School,
2021-02-19,Vinterferie,Winter Holiday,DK,False,False,,School,
2021-02-20,Vinterferie,Winter Holiday,DK,False,False,,School,
2021-02-21,Vinterferie,Winter Holiday,DK,False,False,,School,
2021-03-27,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-03-28,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-03-29,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-03-30,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-03-31,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-04-01,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-04-02,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-04-03,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-04-04,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-04-05,Påskeferie,Easter Holiday,DK,False,False,,School,
2021-06-26,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-06-27,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-06-28,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-06-29,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-06-30,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-01,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-02,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-03,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-04,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-05,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-06,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-07,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-08,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-09,Sommerferie,Summer Holiday,DK,False,False,,School,
